ubigeo,nombre,poblacion,idh,esperanza_vida,pob_secundaria_completa,educacion,ingreso_pc,Huancavelica
90204,Caja                                    ,2195.22,0.32,74.91,45.59,5.34,326.8,1
90205,Marcas                                  ,1907.11,0.31,76.4,46.74,4.66,305.71,1
90206,Paucara                                 ,29603.13,0.31,76.82,65.38,5.22,243.46,1
90207,Pomacocha                               ,3080.31,0.38,74.45,61.75,5.73,430.39,1
90208,Rosario                                 ,6747.85,0.22,74.81,56.52,3.77,150.22,1
90301,Lircay                                  ,24733.08,0.36,72.61,50.2,5.64,444.64,1
90302,Anchonga                                ,8176.45,0.2,74.36,49.35,3.88,130.66,1
90303,Callanmarca                             ,556.42,0.29,79.26,73.78,3.69,245.76,1
90304,Ccochaccasa        ,2397.86,0.41,69.45,60.39,6.09,554.95,1
90305,Chincho                                 ,2782.07,0.31,71.6,54.41,5.16,295.05,1
90306,Congalla                                ,4039.47,0.22,68.51,45.73,4.11,161.02,1
90307,Huanca-Huanca     ,1411.63,0.22,73.57,26.55,3.84,192.61,1
90308,Huayllay Grande     ,1858.42,0.24,74.72,35.48,3.71,214.87,1
90309,Julcamarca                              ,1884.91,0.51,72.66,80.76,8.31,710.41,1
90310,San Antonio De Antaparco   ,6289.65,0.29,73.15,85.32,7.7,159,1
90311,Santo Tomas De Pata    ,2498.37,0.34,70.87,46.46,5.5,414.36,1
90312,Secclla                                 ,3862.5,0.29,72.81,63.04,5.59,223.2,1
90401,Castrovirreyna                          ,3028.23,0.42,64.53,54.82,7.11,631.61,1
90402,Arma                                    ,1173.46,0.34,68.9,47.34,6.11,369.64,1
90403,Aurahua                                 ,1886.65,0.26,62.68,44.79,6.76,215.04,1
90404,Capillas                                ,1172.07,0.34,59.28,46.11,7.13,446.74,1
90405,Chupamarca                              ,1081.83,0.34,72.19,55.95,6.73,310.93,1
90406,Cocas                                   ,795.81,0.26,63.15,38.74,6.07,243.16,1
90407,Huachos                                 ,1205.55,0.4,64.82,59.91,7.41,523.36,1
90408,Huamatambo     ,339.04,0.39,57.18,66.84,7.04,590.06,1
90409,Mollepampa                              ,1498.08,0.31,62.88,50.08,6.08,333.02,1
90410,San Juan                                ,427.53,0.37,57.35,44.67,7.33,613.2,1
90411,Santa Ana                               ,1663.43,0.58,67.16,69.27,7.27,1383.77,1
90412,Tantara                                 ,617.15,0.43,70.6,53.21,7.9,581.78,1
90413,Ticrapo                                 ,1391.85,0.45,68.9,47.52,7.9,705.44,1
90501,Churcampa                               ,4911.69,0.43,69.14,67.83,6.28,594.52,1
90502,Anco                                    ,6301.16,0.27,67.32,57.91,3.95,259.77,1
90503,Chinchihuasi                            ,2914.93,0.26,61.35,51.87,4.36,282.3,1
90504,El Carmen                               ,2658.26,0.21,61.11,35.21,4.49,179.8,1
90505,La Merced                               ,1684.21,0.38,68.95,69.47,7.08,388.58,1
90506,Locroja                                 ,3394.58,0.25,68.88,63.24,4.33,190.76,1
90507,Paucarbamba     ,6176.04,0.25,62.27,54.44,4.34,226.43,1
90508,San Miguel De Mayocc  ,1074.29,0.49,76.13,53.51,7.83,754.32,1
90509,San Pedro De Coris  ,2110.49,0.51,66.15,67.79,7.01,978.43,1
90510,Pachamarca                              ,1950,0.33,66.98,53.91,4.13,447.89,1
90511,Cosme,1555,0.19,59.12,59.82,3.73,135.03,1
90601,Huaytara                                ,2062.04,0.53,73.82,52.91,8.9,891.28,1
90602,Ayavi                                   ,468.38,0.39,64.93,52.46,7.76,509.27,1
90603,Cordova                                 ,2310.99,0.52,66.65,56.34,7.17,1094.35,1
90604,Huayacundo Arma   ,450.88,0.4,69.63,60.4,8.22,433.08,1
90605,Laramarca                               ,658.1,0.47,71.63,66.76,7.75,667.23,1
90606,Ocoyo                                   ,1959.86,0.51,65.01,43.2,7.25,1215.56,1
90607,Pilpichaca                              ,3327.88,0.3,72.83,46.43,5,292.69,1
90608,Querco                                  ,1138.19,0.37,67.14,59.01,6.65,424.58,1
90609,Quito-Arma                              ,689.25,0.31,64.33,32.28,5.95,415.01,1
90610,San Antonio De Cusicancha ,1487.22,0.25,68.59,36.32,4.89,227.14,1
90611,San Francisco De Sangayaico ,480.96,0.35,70.63,55.95,5.9,374.1,1
90612,San Isidro                              ,1128.7,0.23,62.14,60.8,6.21,146.33,1
90613,Santiago De Chocorvos  ,1844.81,0.29,63.25,42.19,4.97,346.75,1
90614,Santiago De Quirahuara   ,471.02,0.29,68.76,64.11,6.24,217.75,1
90615,Santo Domingo De Capillas ,739.66,0.32,63.27,45.37,6.7,354.24,1
90616,Tambo                                   ,212.65,0.38,61.96,62.45,6.66,503.08,1
90701,Pampas                                  ,10082.4,0.5,76.19,75.16,8.22,646.43,1
90702,Acostambo                               ,3265.2,0.32,73.36,47.73,4.75,352.64,1
90703,Acraquia                                ,3681.09,0.36,72.75,50.77,5.39,432.86,1
90704,Ahuaycha                                ,4622.46,0.31,70.24,63.21,5.21,278.56,1
90705,Colcabamba                              ,10765.99,0.38,69.85,60.3,4.56,546.55,1
90706,Daniel Hernandez   ,9413.96,0.44,73.72,63.44,5.69,640.03,1
90707,Huachocolpa                             ,5492.38,0.3,66.48,65.72,6.18,240.8,1
90709,Huaribamba                              ,5283.59,0.37,77.11,51.18,4.2,540.2,1
90710,Ñahuimpuquio                            ,1221.25,0.48,73.06,60.89,4.86,956.66,1
90711,Pazos                                   ,5514.54,0.28,76.35,56.09,4.78,215.18,1
90713,Quishuar                                ,752.67,0.34,78.19,43.94,4.16,437.32,1
90714,Salcabamba                              ,3595.01,0.31,72.51,53.19,4.06,350.17,1
90715,Salcahuasi                              ,2367.65,0.23,63.61,52.56,4.3,192.67,1
90716,San Marcos De Rocchac  ,1931.73,0.26,74.27,51.82,4.78,194.05,1
90717,Surcubamba                              ,4487.41,0.34,66.34,68.63,4.96,406.28,1
90718,Tintay Puncu                            ,10005.74,0.33,67.63,46.45,5.45,390.33,1
90719,Quichuas,3746,0.24,67.36,48.34,3.96,206.77,1
90720,Andaymarca,2463,0.27,66.51,42.76,4.13,309.21,1
90721,Roble,1247.82,0.37,60.35,45.26,5.04,682.06,1
90722,Pichos,1797.98,0.26,76.09,33.7,3.43,307.16,1
90723,Santiago De Tucuma,1481.58,0.21,67.65,36.33,3.69,190.63,1
100101,Huanuco                                 ,93514.9,0.59,71.44,72.32,10.15,1034.37,0
100102,Amarilis                                ,74635.54,0.62,74.03,77.04,10.11,1095.64,0
100103,Chinchao                                ,19256.76,0.31,76.17,44.88,3.77,378.48,0
100104,Churubamba                              ,24762.21,0.2,77.56,34.96,2.04,322.57,0
100105,Margos                                  ,7079.8,0.27,78.94,43.21,4.78,224.16,0
100106,Quisqui                                 ,6470.48,0.26,76.06,38.96,3.93,239.34,0
100107,San Francisco De Cayran  ,5328.62,0.38,75.21,61.94,5.13,456.42,0
100108,San Pedro De Chaulan    ,5736.58,0.22,79.12,27.14,3.24,198.9,0
100109,Santa Maria Del Valle   ,19017.9,0.27,79,40.66,3.47,282.15,0
100110,Yarumayo                                ,2255.1,0.32,76.75,52.58,4.24,335.12,0
100111,Pillco Marca                            ,39141.08,0.62,73.83,82.32,9.83,1100.93,0
100112,Yacus,5316.96,0.32,80.3,63.1,3.96,312.61,0
100113,San Pablo de Pillao,8383.05,0.36,79.42,44.94,2.84,742.6,0
100201,Ambo                                    ,18841.9,0.44,71.99,62.38,6.37,637.4,0
100202,Cayna                                   ,2493.52,0.22,76.65,29.77,3.99,185.14,0
100203,Colpas                                  ,1763.46,0.23,77.08,32.37,3.72,197.2,0
100204,Conchamarca    ,5708.93,0.41,75.22,49.33,4.99,644.35,0
100205,Huacar                                  ,6573,0.31,76.94,54.54,4.23,324.35,0
100206,San Francisco                           ,2198.42,0.28,75.59,53.02,4.42,229.76,0
100207,San Rafael                              ,9851.79,0.27,73.65,44.54,3.99,263.84,0
100208,Tomay Kichwa      ,2191.36,0.49,73.06,62.37,7.41,742.08,0
100301,La Union                                ,6432.91,0.51,65.07,67.14,9.08,880.54,0
100307,Chuquis                                 ,4779.21,0.35,69.63,44.01,4.47,517.66,0
100311,Marias                                  ,8224.56,0.23,68.28,36.11,3.87,220.57,0
100313,Pachas                                  ,9975.72,0.4,66.83,53.5,5.33,661.41,0
100316,Quivilla                                ,2563.84,0.41,66.92,48.02,6.77,616.44,0
100317,Ripan                                   ,6239.45,0.41,67.96,61.68,6.59,547.28,0
100321,Shunqui                                 ,1826.73,0.28,70.15,37.77,4.28,300.13,0
100322,Sillapata                               ,1611.34,0.31,67.94,50.11,4.55,354.08,0
100323,Yanas                                   ,2623.8,0.36,69.72,45.28,4.14,622.32,0
100401,Huacaybamba    ,6503.09,0.34,74.12,35.62,5.6,421.86,0
100402,Canchabamba    ,2850.84,0.28,77.62,43.77,4.36,247.46,0
100403,Cochabamba   ,2796.64,0.36,73.15,39.1,5.49,487.22,0
100404,Pinra                                   ,7815.37,0.28,77.27,50.46,4.5,245.47,0
100501,Llata                                   ,13537.8,0.42,71.14,59.37,6.54,584.42,0
100502,Arancay                                 ,1185.84,0.33,73.34,24.11,5.29,468.43,0
100503,Chavin De Pariarca    ,3094.66,0.31,76.76,32.64,4.83,367.32,0
100504,Jacas Grande                            ,4968.69,0.34,78.11,45.46,4.7,382.63,0
100505,Jircan                                  ,2647.97,0.32,72.51,34.45,4.76,400.27,0
100506,Miraflores                              ,3011.16,0.29,79.74,57.7,4.5,236.08,0
100507,Monzon                                  ,25825.35,0.39,71.73,47.62,5.97,554.83,0
100508,Punchao                                 ,2176.25,0.36,77.33,42.27,5.25,431.52,0
100509,Puños                                   ,3521.06,0.27,77.01,42.33,4.29,251.04,0
100510,Singa                                   ,2390.9,0.36,75.58,67.94,4.97,381.16,0
100511,Tantamayo                               ,2366.25,0.26,75.72,21.2,4.75,268.27,0
100601,Rupa-Rupa                               ,59227.28,0.58,73.84,70.01,9.54,1000.43,0
100602,Daniel Alomia Robles     ,7529.88,0.35,74.37,40.66,4.61,504.54,0
100603,Hermilio Valdizan                       ,3653.17,0.31,73.29,43.47,4.64,340.21,0
100604,Jose Crespo Y Castillo     ,32955.28,0.45,72.32,48.83,6.81,716.25,0
100605,Luyando                                 ,10103.44,0.43,73.18,55.28,6.35,602.6,0
100606,Mariano Damaso Beraun   ,9590.62,0.35,72.33,38.3,4.88,505.14,0
100607,Pucayacu,3608.49,0.33,70.03,28.72,4.5,553.21,0
100608,Castillo Grande,13147.15,0.57,72.41,63.2,8.66,1077.12,0
100609,Pueblo Nuevo,4014.49,0.42,72.19,51.98,5.11,694.65,0
100610,Santo Domingo de Andia,2448.62,0.32,72.71,35.8,4.31,436.66,0
100701,Huacrachuco                             ,14485.2,0.31,66.76,41.34,4.95,399.8,0
100702,Cholon                                  ,11708.03,0.33,66.54,40.68,5.35,428.1,0
100703,San Buenaventura    ,2327.11,0.23,71.51,30.31,3.39,233.04,0
100704,La Morada,2816.78,0.44,69.69,52.35,5.74,790.54,0
100705,Santa Rosa de Alto Yanajanca,2220.11,0.35,64.78,36.12,5.08,567.66,0
100801,Panao                                   ,22296.96,0.25,69.01,38.26,3.46,279.67,0
100802,Chaglla                                 ,10069.94,0.34,72.05,40.61,4.01,541.22,0
100803,Molino                                  ,13371.44,0.25,74.22,36.77,2.95,320.91,0
100804,Umari                                   ,17265.65,0.26,73.47,30.81,3.01,375.16,0
100901,Puerto Inca                             ,6198.7,0.41,70.47,35.52,6.41,715.45,0
100902,Codo Del Pozuzo      ,6594.65,0.35,71,27.81,4.78,625.57,0
100903,Honoria                                 ,5209.29,0.37,72.54,39.46,5.76,513.2,0
100904,Tournavista                             ,3931.96,0.42,72.02,31.5,6.09,815.36,0
100905,Yuyapichis                              ,4925.16,0.37,71.9,27.61,5.79,612.59,0
101001,Jesus                                   ,3808.54,0.4,70.08,48.81,7.39,513.46,0
101002,Baños                                   ,5226.71,0.42,68.26,65.03,7.28,542.09,0
101003,Jivia                                   ,1955.85,0.35,71.84,45.61,7.04,354.55,0
101004,Queropalca                              ,2483.89,0.45,71.48,53.74,8.57,599.53,0
101005,Rondos                                  ,5456.1,0.37,74.36,50.24,6.52,399.91,0
101006,San Francisco De Asis  ,1268.62,0.35,75.07,53.94,5.8,359.01,0
101007,San Miguel De Cauri     ,8237.61,0.48,69.51,50.93,7.85,803.38,0
101101,Chavinillo                              ,6042.86,0.23,70.7,49.56,4.5,164.54,0
101102,Cahuac                                  ,3491.42,0.36,74.68,58.15,6.32,345.72,0
101103,Chacabamba      ,2621.63,0.34,76.56,74.74,6.2,270.34,0
101104,Aparicio Pomares      ,4655.73,0.28,74.3,57.04,4.27,243.35,0
101105,Jacas Chico                             ,1266.52,0.28,69.55,61.05,4.77,231.01,0
101106,Obas                                    ,3693.13,0.37,73.9,61.55,5.34,410.99,0
101107,Pampamarca     ,1333.95,0.27,72.94,36.97,4.91,248.77,0
101108,Choras                                  ,1106.74,0.3,73.21,44.24,4.67,303.34,0
110101,Ica                                     ,142450.24,0.66,79.64,81.38,11.72,1084.33,0
110102,La Tinguiña                             ,38005.36,0.63,80.81,77.64,10.43,1015.74,0
110103,Los Aquijes                             ,22115.39,0.63,78.12,75.66,9.92,1104.14,0
110104,Ocucaje                                 ,4083.52,0.56,76.95,71.13,8.5,897.03,0
110105,Pachacutec                              ,7330.03,0.63,79.94,74.91,9.73,1067.31,0
110106,Parcona                                 ,54312.19,0.62,80.8,78.09,10.48,933.36,0
110107,Pueblo Nuevo                            ,5487.44,0.6,78.04,72.29,10.31,958.03,0
110108,Salas                                   ,27932.2,0.61,78.89,67.64,9.13,1064.94,0
110109,San Jose De Los Molinos  ,6644.67,0.63,78.75,77.69,9.13,1104.44,0
110110,San Juan Bautista                       ,14967.18,0.66,80.79,76.24,10.63,1117.21,0
110111,Santiago                                ,31419.37,0.63,80.49,76.56,9.34,1061,0
110112,Subtanjalla                             ,31104.42,0.64,79.37,77.51,10.81,1028.53,0
110113,Tate                                    ,4720.7,0.62,78.11,74.49,10.11,1017.09,0
110114,Yauca Del Rosario     ,929.67,0.38,75.35,53.61,6.9,413.17,0
110201,Chincha Alta                            ,66625.16,0.61,80.58,70.64,10.39,938.91,0
110202,Alto Laran                              ,8209.77,0.56,78.87,58.24,8.65,938.68,0
110203,Chavin                                  ,1927.82,0.6,78.43,49.47,10.47,1136.75,0
110204,Chincha Baja                            ,12460.55,0.58,80.49,69.98,8.91,891.3,0
110205,El Carmen                               ,13863.82,0.53,79.34,61.57,8.26,816.79,0
110206,Grocio Prado                            ,26660.93,0.57,81.67,68.16,9.14,865.12,0
110207,Pueblo Nuevo                            ,65356.94,0.59,81.16,67.03,10.03,913.78,0
110208,San Juan De Yanac    ,527.4,0.34,74.07,53.27,7.52,292.11,0
110209,San Pedro De Huacarpana  ,1344.6,0.3,77.72,67.56,7.12,186.59,0
110210,Sunampe                                 ,30276.65,0.6,81.76,67.59,9.53,957.19,0
110211,Tambo De Mora    ,5314.3,0.59,79.82,65.4,9.55,978.92,0
110301,Nazca                                   ,26739.54,0.6,79.75,71.09,10.08,936.27,0
110302,Changuillo                              ,1152.4,0.54,79.75,58.38,7.48,893.96,0
110303,El Ingenio                              ,2572.08,0.56,81.53,65.16,8.08,871.93,0
110304,Marcona                                 ,13914.61,0.68,80.27,73.38,10.92,1245.39,0
110305,Vista Alegre                            ,18667.06,0.59,81.73,71.34,9.43,910.65,0
110401,Palpa                                   ,6820.85,0.62,81.11,81.46,9.59,966.62,0
110402,Llipata                                 ,1316.47,0.6,80.76,85.82,8.79,907.6,0
110403,Rio Grande                              ,1742.18,0.6,80.82,83.04,8.82,912.17,0
110404,Santa Cruz                              ,771.19,0.57,79.88,75.56,8.85,848.15,0
110405,Tibillo                                 ,160.38,0.55,75.69,68.36,7.6,947.9,0
110501,Pisco                                   ,58924.96,0.59,76.41,72.45,10.43,914.88,0
110502,Huancano                                ,1223.29,0.54,73.26,86.12,8.34,789.69,0
110503,Humay                                   ,5923.77,0.55,72.9,72.53,8.07,930.77,0
110504,Independencia                           ,14789.13,0.54,74.61,72.27,8.41,830.47,0
110505,Paracas                                 ,8492.55,0.63,76,67.8,9.8,1204.18,0
110506,San Andres                              ,12641.75,0.53,76.76,64.42,9.63,731.59,0
110507,San Clemente                            ,24272.77,0.57,76.15,72.54,9.11,922.47,0
110508,Tupac Amaru Inca   ,19052.7,0.57,76.29,69.49,9.68,893.65,0
120101,Huancayo                                ,119236.37,0.61,71.67,76.35,11.05,1046.54,0
120104,Carhuacallanga                          ,1141.07,0.39,79.4,72.73,7.35,340.11,0
120105,Chacapampa     ,528.64,0.27,71.33,56.58,5.61,197.06,0
120106,Chicche                                 ,485.12,0.32,71.79,72.24,5.36,283.91,0
120107,Chilca                                  ,91775.89,0.55,73.41,75.34,9.62,826.47,0
120108,Chongos Alto                            ,1136.24,0.48,75.24,69.93,6.53,723.88,0
120111,Chupuro                                 ,1586.94,0.43,71.47,73.35,7.39,503.34,0
120112,Colca                                   ,1458.22,0.45,71.86,50.22,6.3,754.69,0
120113,Cullhuas                                ,1421.42,0.19,75.43,49.23,4.36,97.83,0
120114,El Tambo                                ,167365.51,0.63,73.35,78.85,11.22,1118.01,0
120116,Huacrapuquio                            ,1187.58,0.37,76.83,68.27,5.95,349.57,0
120117,Hualhuas                                ,5266.72,0.51,71.52,75.72,9.09,712.46,0
120119,Huancan                                 ,26022.21,0.49,71.45,71.38,8.54,690.11,0
120120,Huasicancha                             ,674.23,0.33,74.33,46.87,6.39,308.64,0
120121,Huayucachi                              ,9077.7,0.49,71.28,70.98,8.43,675.92,0
120122,Ingenio                                 ,2246.49,0.45,72.91,62.6,6.16,655.91,0
120124,Pariahuanca                             ,4241.45,0.18,71.6,56.63,4.34,97.88,0
120125,Pilcomayo                               ,20078.12,0.57,71.93,79.22,9.89,907.48,0
120126,Pucara                                  ,4211.28,0.4,70.87,59.08,6.74,496.89,0
120127,Quichuay                                ,1570.88,0.47,73.21,70.61,6.44,711.36,0
120128,Quilcas                                 ,4151.05,0.46,71.38,67.97,7.25,653.76,0
120129,San Agustin                             ,14173.74,0.55,71.86,78.18,9.46,838.9,0
120130,San Jeronimo De Tunan   ,11141.97,0.55,72.19,72.71,9.62,841.9,0
120132,Saño                                    ,4751.07,0.48,71.17,75.54,6.9,697.9,0
120133,Sapallanga                              ,16343.68,0.48,72.24,71.06,7.73,654.68,0
120134,Sicaya                                  ,13113,0.53,73.43,72.99,8.48,804.61,0
120135,Santo Domingo De Acobamba  ,6242.27,0.38,71.47,55.95,6.9,437.42,0
120136,Viques                                  ,2366.99,0.43,73.89,69.22,7.15,513.47,0
120201,Concepcion                              ,14877.43,0.56,69.17,70.41,9.97,954.26,0
120202,Aco                                     ,1414.48,0.38,74.08,57.34,7.05,386.63,0
120203,Andamarca                               ,3484.07,0.26,74.11,47.76,4.03,236.38,0
120204,Chambara                                ,2686.27,0.33,71.05,56.2,6.83,297.07,0
120205,Cochas                                  ,1405.04,0.39,72.77,45.26,5.07,622.59,0
120206,Comas                                   ,4486.05,0.37,72.79,54.53,4.89,505.89,0
120207,Heroinas Toledo                         ,858.72,0.31,71.47,35.18,5.26,345.93,0
120208,Manzanares                              ,1293.13,0.47,75.08,70.96,8.9,538.46,0
120209,Mariscal Castilla                       ,1572.23,0.15,74.6,46.67,5.34,66.38,0
120210,Matahuasi                               ,5279.31,0.52,70.89,60.88,8.81,838.17,0
120211,Mito                                    ,1269.93,0.51,69.8,68.31,8.91,781.49,0
120212,Nueve De Julio                          ,1555.23,0.51,71.14,59.3,8.25,837.6,0
120213,Orcotuna                                ,4403.84,0.44,77.24,65.23,7.53,507.29,0
120214,San Jose De Quero  ,5512.5,0.24,73.44,58.74,6.11,136.81,0
120215,Santa Rosa De Ocopa   ,1891.56,0.52,71.33,67.94,7.84,853.67,0
120301,Chanchamayo    ,24595.45,0.59,75.06,65.28,9.16,1064.62,0
120302,Perene                                  ,73767.53,0.43,74.53,56.25,6.7,572.47,0
120303,Pichanaqui                              ,61517.46,0.45,78.21,53.36,6.96,612.17,0
120304,San Luis De Shuaro   ,6142.07,0.43,74.27,49.83,6.62,619.36,0
120305,San Ramon                               ,25835.76,0.55,74.69,62.92,8.66,944.98,0
120306,Vitoc                                   ,782.14,0.55,73.02,59.24,7.36,1103.68,0
120401,Jauja                                   ,14305.2,0.58,70.27,73.93,10.4,984.62,0
120402,Acolla                                  ,5696.38,0.48,71.71,62.98,7.68,740.79,0
120403,Apata                                   ,3234.22,0.46,69.78,72.24,6.9,674.41,0
120404,Ataura                                  ,1096.09,0.56,70.77,68.55,9.41,951.02,0
120405,Canchayllo                              ,1564.17,0.43,67.96,57.77,7.81,570.06,0
120406,Curicaca                                ,1424.81,0.45,68.73,55.06,7.08,737.24,0
120407,El Mantaro                              ,2551.99,0.54,74.81,71.17,9.18,806.64,0
120408,Huamali                                 ,1567.54,0.49,71.26,64.58,8.76,714.66,0
120409,Huaripampa                              ,734.57,0.54,73.04,66.79,9.05,884.03,0
120410,Huertas                                 ,1705.25,0.46,70.34,64.26,8.63,617.81,0
120411,Janjaillo                               ,458.31,0.25,70.38,54.15,5.1,174.14,0
120412,Julcan                                  ,599.63,0.52,71.5,69.25,8.44,806.64,0
120413,Leonor Ordoñez    ,1410.13,0.51,70.29,78.23,8.7,751.72,0
120414,Llocllapampa                            ,845.62,0.48,68.67,64.68,7.79,736.66,0
120415,Marco                                   ,1219.37,0.41,72.16,58.36,7.38,497.33,0
120416,Masma                                   ,1822.82,0.39,68.69,57.87,7.53,461.46,0
120417,Masma Chicche   ,591.03,0.42,75.45,76.95,4.99,545.69,0
120418,Molinos                                 ,1316.82,0.36,73.35,56.72,6.37,361.66,0
120419,Monobamba     ,1130.44,0.42,71.34,59.45,6.2,580.76,0
120420,Muqui                                   ,943.34,0.51,73.88,59.32,8.77,780.34,0
120421,Muquiyauyo                              ,2198.15,0.54,74.97,69.86,8.48,858.24,0
120422,Paca                                    ,758.71,0.44,72.7,73.35,6.45,589.14,0
120423,Paccha                                  ,1267.95,0.45,70.05,65.44,6.9,667.77,0
120424,Pancan                                  ,1183.54,0.51,68.29,74.47,8.13,841.06,0
120425,Parco                                   ,918.38,0.48,69.19,73.17,7.97,677.43,0
120426,Pomacancha    ,1470.75,0.33,69.33,37.67,4.93,463.1,0
120427,Ricran                                  ,1185,0.36,72.01,44.34,5.2,478.77,0
120428,San Lorenzo                             ,2559.42,0.51,73.8,63.86,8.36,762.34,0
120429,San Pedro De Chunan   ,685.16,0.42,67.94,55.84,7.86,570.8,0
120430,Sausa                                   ,3048.12,0.54,74.66,74.5,9.1,811,0
120431,Sincos                                  ,4767.73,0.38,69.54,61.9,7.61,405.7,0
120432,Tunan Marca                             ,956.54,0.48,75,74.42,7.13,645.29,0
120433,Yauli                                   ,896.75,0.47,68.55,70.02,7.47,692.04,0
120434,Yauyos                                  ,8828.32,0.56,72.2,69.3,9.55,910.11,0
120501,Junin                                   ,6833,0.49,69.77,66.9,8.73,707.32,0
120502,Carhuamayo  ,6161.01,0.45,71.42,62.34,7.58,617.11,0
120503,Ondores                                 ,453.51,0.5,67.88,73.88,7.7,799.24,0
120504,Ulcumayo                                ,3636.21,0.23,69.32,52.98,4.65,152.24,0
120601,Satipo                                  ,42934.03,0.51,71.65,59.72,8.33,816.75,0
120602,Coviriali                               ,6339.32,0.39,72.99,49.62,6.54,473.49,0
120603,Llaylla                                 ,6983.82,0.39,72.68,64.76,5.53,485.5,0
120604,Mazamari  ,59216.39,0.43,75.41,60.01,7.29,514.08,0
120605,Pampa Hermosa  ,8248.37,0.31,75.35,39.89,5.45,313.3,0
120606,Pangoa              ,66993.36,0.36,73.75,43.81,6.48,398.35,0
120607,Rio Negro                               ,27485.46,0.39,73.53,58.13,6.82,432.77,0
120608,Rio Tambo                               ,50184.1,0.28,78.56,33.33,5.09,254.08,0
120609,Vizcatan del Ene,5094,0.4,77.19,53.44,5.77,497.97,0
120701,Tarma                                   ,43269,0.55,73.03,68.83,9.23,885.64,0
120702,Acobamba                                ,11238,0.42,73.15,65.53,7.23,489.59,0
120703,Huaricolca                              ,2513.31,0.4,75.66,57.28,5.53,501.47,0
120704,Huasahuasi                              ,11960.33,0.41,74.64,46.47,5.32,637.16,0
120705,La Union                                ,2743.63,0.51,76.04,77.61,7.8,720.4,0
120706,Palca                                   ,4754.99,0.38,75.34,49.9,5.36,485.42,0
120707,Palcamayo                               ,7061.34,0.39,77.13,66.33,5.67,422.77,0
120708,San Pedro De Cajas  ,4341.34,0.38,78.77,56.81,5.92,408.7,0
120709,Tapo                                    ,5155.26,0.28,76.28,46.01,4.74,236.26,0
120801,La Oroya                                ,8996.9,0.62,75.52,70.9,10.05,1128.4,0
120802,Chacapalpa                              ,545.72,0.41,75.11,46.63,6.41,574.21,0
120803,Huay-Huay                               ,1539.25,0.63,77.89,64.05,9.97,1201.23,0
120804,Marcapomacocha   ,1046.86,0.53,77.37,48.71,7.85,959.11,0
120805,Morococha                               ,4146.22,0.73,80.05,69.54,10.38,1632.82,0
120806,Paccha                                  ,1494.99,0.6,75.8,73.06,9.15,1068.31,0
120807,Santa Barbara De Carhuacaya  ,1960.77,0.58,79.07,53.03,8.34,1087.9,0
120808,Santa Rosa De Sacco   ,9043.23,0.63,78.73,73.41,9.96,1105.46,0
120809,Suitucancha                             ,891.64,0.36,73.35,48.21,7.03,376.92,0
120810,Yauli                                   ,4922.97,0.7,76.04,68.75,10.76,1573.8,0
120901,Chupaca                                 ,21173.26,0.55,71.69,72.12,9.51,870.5,0
120902,Ahuac                                   ,5463.19,0.47,70.86,67.9,8.06,661.45,0
120903,Chongos Bajo                            ,3892.16,0.47,71.99,65.88,8.02,627.37,0
120904,Huachac                                 ,3560.48,0.54,73.88,68.81,8.63,856.91,0
120905,Huamancaca Chico    ,8103.06,0.55,73.04,69.49,8.49,951.83,0
120906,San Juan De Iscos    ,1967.38,0.52,73.45,76.06,8.41,765.78,0
120907,San Juan De Jarpa       ,2998.03,0.29,75.13,51.86,5.36,228.8,0
120908,Tres De Diciembre    ,2399.48,0.5,76.44,60.99,8.66,710.4,0
120909,Yanacancha                              ,3090.36,0.36,71.23,51.37,5.95,427.98,0
130101,Trujillo                                ,331253,0.72,79.58,77.26,11.81,1377.94,0
130102,El Porvenir                             ,209189.32,0.56,79.35,59.07,7.88,999.87,0
130103,Florencia De Mora   ,40839.33,0.57,80.07,64.73,8.83,895.22,0
130104,Huanchaco                               ,76607.3,0.58,78.24,62.24,8.81,1028.23,0
130105,La Esperanza                            ,197397.59,0.6,78.86,67.4,9.29,1010.62,0
130106,Laredo                                  ,34739.4,0.59,80.24,64.76,8.52,1043.42,0
130107,Moche                                   ,37258.81,0.62,78.46,66.19,9.47,1128.6,0
130108,Poroto                                  ,2524.46,0.45,78.24,52.08,6.22,655.29,0
130109,Salaverry                               ,20630.59,0.57,78.73,66.01,8.93,922.64,0
130110,Simbal                                  ,4289.12,0.45,77.59,54.72,5.94,681.44,0
130111,Victor Larco Herrera                    ,66889.78,0.75,80,76.99,11.74,1599.64,0
130201,Ascope                                  ,6120.27,0.55,76.84,70.62,8.84,837.15,0
130202,Chicama                                 ,15563.08,0.57,77.67,66.21,8.46,978.45,0
130203,Chocope                                 ,8413.59,0.61,77.49,77.55,9.29,1053.66,0
130204,Magdalena De Cao    ,3055.24,0.57,78.3,65.65,8.31,988.97,0
130205,Paijan                                  ,27037.04,0.53,76.8,64.58,7.84,867.28,0
130206,Razuri                                  ,9448.44,0.56,76.61,62.76,7.99,999.83,0
130207,Santiago De Cao      ,19535.08,0.62,78.68,72.14,9.28,1088.01,0
130208,Casa Grande                             ,30558.11,0.62,78.52,75.14,9.33,1072.76,0
130301,Bolivar                                 ,4441.45,0.33,76.74,39.31,5.61,347.06,0
